Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
40,48.994627378000644,0.09569263159765751,29.9603921600375,0.05851639093757324,29.9603921600375,0.05851639093757324,0.0,19.03423521796357,29.9603921600375,0.05851639093757324,19.61244857482005,0.5782133568564802,0.00028233074065257824,0.0573870679749621,2.4386591444956593,2560,2048,512,4.0,0
41,54.200841352005625,0.12152655011660454,30.169561040773438,0.06764475569680144,30.169561040773438,0.06764475569680144,0.5789076022078348,23.452372709024843,30.748468642981273,0.06894275480489075,24.03699326588132,0.5846205568564784,0.0002765470940664515,0.06763194638144462,0.09381508051377807,2560,2048,512,4.0,1
42,57.4733280401266,0.11225259382837227,29.643627887267556,0.057897710717319445,29.643627887267556,0.057897710717319445,0.0,27.829700152859616,29.643627887267556,0.057897710717319445,28.47626074974191,0.6465605968822956,0.0003157034164464334,0.0566348970515326,0.5172779406943278,2560,2048,512,4.0,0
43,57.30394811927309,0.11192177367045525,29.639027379267535,0.057888725350131905,29.639027379267535,0.057888725350131905,0.0,27.66492074000608,29.639027379267535,0.057888725350131905,28.30638325688838,0.6414625168822994,0.00031321411957143525,0.05663586887184513,0.6832573143593663,2560,2048,512,4.0,0
44,57.656732255860945,0.11261080518722841,29.644381459267528,0.05789918253763189,29.644381459267528,0.05789918253763189,0.0,28.01235079659395,29.644381459267528,0.05789918253763189,28.652000273476233,0.6396494768822834,0.0003123288461339274,0.05664986715309514,0.16631104491797544,2560,2048,512,4.0,0
45,57.64048160458276,0.1125790656339507,29.64550081926752,0.05790136878763188,29.64550081926752,0.05790136878763188,0.0,27.994980785315775,29.64550081926752,0.05790136878763188,28.633142022198072,0.6381612368822971,0.0003116021664464341,0.056654960121845094,0.5299917527839995,2560,2048,512,4.0,0
46,57.94034671706564,0.11316473968176882,29.64795945926751,0.05790617081888186,29.64795945926751,0.05790617081888186,0.0,28.292387257798666,29.64795945926751,0.05790617081888186,28.908603348279684,0.6162160904810179,0.0003008867629301845,0.056702623767160065,0.21294766902295237,2560,2048,512,4.0,0
47,61.36502319194027,0.17684444723902093,30.162184452374206,0.08692272176476716,30.162184452374206,0.08692272176476716,0.2894538011039174,30.91338493846203,30.451638253478123,0.08775688257486491,31.488543095318505,0.5751581568564745,0.00025989975456686603,0.08609936627268519,0.6513871599365899,2560,2048,512,4.0,1
48,67.96316186790199,0.13274055052324607,29.650765058868274,0.0579116505056021,29.650765058868274,0.0579116505056021,0.0,38.31239680903232,29.650765058868274,0.0579116505056021,38.93018064063554,0.6177838316032194,0.00030165226152500946,0.05670504145950478,2.019469751068968,2560,2048,512,4.0,0
49,68.76990980980504,0.13431623009727547,29.95717034606461,0.058510098332157444,29.95717034606461,0.058510098332157444,0.0,38.81273946373905,29.95717034606461,0.058510098332157444,39.47657283262134,0.6638333688822939,0.0003241373871495576,0.05721354878356191,0.9077320598402281,2560,2048,512,4.0,0
